name,manufacturer,firstFlight,era,type,description,engine,speed,range,crew,notes
Wright Flyer,Wright Brothers,1903,Early Aviation,Experimental,"The first successful powered aircraft, made the first controlled, sustained flight on December 17, 1903.","12 hp gasoline engine",30 mph,852 ft,1,"First flight lasted 12 seconds"
Curtiss JN-4 "Jenny",Curtiss,1915,WWI,Biplane,"Widely used as a trainer aircraft during WWI and later for barnstorming in the 1920s.","OXX-6 V8 engine, 90 hp",75 mph,175 mi,2,"Famous for postwar airshows"
Fokker Dr.I,Daimler-Benz,1917,WWI,Triplane,"Iconic German fighter flown by the Red Baron, known for agility in dogfights.","Le Rhône 9J rotary, 110 hp",115 mph,186 mi,1,"Triplane design for climb rate"
Sopwith Camel,Sopwith Aviation,1916,WWI,Biplane,"Deadly British fighter with twin machine guns; difficult but effective.","Clerget 9B rotary, 130 hp",115 mph,300 mi,1,"More kills than any other Allied fighter"
Spirit of St. Louis,Ryan Airlines,1927,Interwar,Monoplane,"Custom-built for Charles Lindbergh’s solo nonstop flight across the Atlantic.","Wright Whirlwind J-5C radial, 223 hp",120 mph,4100 mi,1,"First solo nonstop transatlantic flight"
Douglas DC-3,Douglas Aircraft,1935,Interwar,Airliner,"Revolutionary airliner that made passenger travel profitable; still flown today.","2× Pratt & Whitney R-1830 Twin Wasp",207 mph,1500 mi,3,"Over 600 still in service"
Supermarine Spitfire,Supermarine,1936,WWII,Fighter,"Iconic British fighter of WWII with elliptical wings and superb maneuverability.","Rolls-Royce Merlin V12",370 mph,1000 mi,1,"Key role in Battle of Britain"
Messerschmitt Bf 109,Messerschmitt,1935,WWII,Fighter,"Luftwaffe’s primary fighter; fast, agile, and mass-produced.","Daimler-Benz DB 601",398 mph,528 mi,1,"Fought from 1939 to 1945"
Boeing B-17 Flying Fortress,Boeing,1935,WWII,Bomber,"Heavy bomber known for durability and long-range missions over Europe.","4× Wright R-1820 Cyclone engines",287 mph,2000 mi,10,"Used in daylight bombing campaigns"
North American P-51 Mustang,North American Aviation,1940,WWII,Fighter,"Long-range escort fighter that dominated European skies.","Packard V-1650 Merlin",437 mph,1650 mi,1,"Escorted bombers to Berlin and back"
de Havilland Mosquito,de Havilland,1940,WWII,Multirole,"Wooden 'Wonder' used as bomber, fighter, and reconnaissance plane.","2× Rolls-Royce Merlin",380 mph,1500 mi,2,"Fastest operational aircraft until 1944"
Mitsubishi A6M Zero,Mitsubishi,1939,WWII,Fighter,"Highly maneuverable Japanese naval fighter with extreme range.","Nakajima Sakae 21 radial",351 mph,1160 mi,1,"Dominant early in Pacific War"
Avro Lancaster,Avro,1941,WWII,Bomber,"British heavy bomber famous for Dambuster raids and precision night bombing.","4× Rolls-Royce Merlin",275 mph,2530 mi,7,"Carried the Grand Slam bomb"
Bell X-1,Bell Aircraft,1947,Jet Age,Experimental,"First aircraft to break the sound barrier in level flight, piloted by Chuck Yeager.","Rocket engine, Reaction Motors XLR11",700 mph,5 mi altitude,1,"Mach 1.06 achieved in 1947"
Boeing 707,Boeing,1957,Jet Age,Airliner,"First successful commercial jet airliner, ushered in the Jet Age for passengers.","4× Pratt & Whitney JT3C turbojets",600 mph,3500 mi,5,"Revolutionized commercial air travel"
Concorde,BAC/Aérospatiale,1969,Jet Age,Supersonic Airliner,"World’s first supersonic passenger jet; flew London to New York in under 3.5 hours.","4× Rolls-Royce/Snecma Olympus 593",1350 mph,4500 mi,3,"Mach 2.04 cruising speed"
Lockheed SR-71 Blackbird,Lockheed,1964,Cold War,Reconnaissance,"High-altitude, long-range reconnaissance aircraft; fastest air-breathing manned aircraft.","2× Pratt & Whitney J58 turbojets",2200+ mph,2900 mi,2,"Operated at Mach 3+"
Boeing 747,Boeing,1969,Jet Age,Airliner,"The 'Jumbo Jet' — first wide-body airliner with upper deck.","4× Pratt & Whitney JT9D turbofans",614 mph,7100 mi,3,"Queen of the Skies"
McDonnell Douglas F-15 Eagle,McDonnell Douglas,1972,Modern,Fighter,"Undefeated in air-to-air combat; twin-engine tactical fighter.","2× Pratt & Whitney F100",1650 mph,3000 mi,1,"Over 100 kills, zero losses"
Grumman F-14 Tomcat,Grumman,1970,Modern,Fighter,"Variable-sweep wing carrier-based fighter with Phoenix missiles.","2× General Electric F110",1544 mph,1840 mi,2,"Star of Top Gun"
Airbus A380,Airbus,2005,Modern,Airliner,"World’s largest passenger airliner with double-deck cabin layout.","4× Rolls-Royce Trent 900 turbofans",634 mph,8500 mi,2,"Carries over 500 passengers"
F-22 Raptor,Lockheed Martin,1997,Modern,Stealth Fighter,"Air superiority fighter with supercruise and stealth.","2× Pratt & Whitney F119",1500 mph,1840 mi,1,"First 5th-generation fighter"
F-35 Lightning II,Lockheed Martin,2006,Modern,Fighter,"Stealth multirole combat aircraft with advanced sensors and vertical takeoff capability (B variant).","Pratt & Whitney F135 turbofan",1200 mph,1379 mi,1,"Used by multiple allied nations"
Boeing 787 Dreamliner,Boeing,2009,Modern,Airliner,"Fuel-efficient composite-body jetliner with advanced aerodynamics and passenger comfort.","2× Rolls-Royce Trent 1000 or GEnx engines",560 mph,7600 mi,2,"Emphasizes range and efficiency"
Joby eVTOL,Joby Aviation,2020s,Future,Electric VTOL,"Prototype all-electric vertical takeoff and landing air taxi for urban mobility.","Electric distributed propulsion",200 mph,150 mi,1,"Represents the rise of electric air taxis"
Lilium Jet,Lilium,2019,Future,Electric VTOL,"All-electric jet with 36 ducted fans for vertical and horizontal flight.","36 electric ducted fans",186 mph,186 mi,1,"Aims for regional air mobility"
