"In the context of AI world models, what is the primary goal of the system?",To predict what happens next and why.
What is the 'representation collapse' failure mode in neural networks?,A state where the model produces nearly identical outputs regardless of the input.
Why is a constant output from a neural network technically a success for a consistency loss function?,"The outputs from different views match perfectly, resulting in zero consistency loss."
What was Becker and Hinton's key idea for learning from two different views of the same scene?,Train two networks to make their outputs agree on common features.
How does the IMAX approach quantify agreement between two views?,By maximizing the variance of the shared signal and minimizing the variance of the disagreement.
"Under a Gaussian noise assumption, what does IMAX maximize between two representations?",Mutual information.
What is the primary limitation of the original IMAX approach?,It relies on strong assumptions of Gaussian variables and symmetric agreement.
How does training an MLP to predict a held-out part of the output act as a regularizer?,"It makes agreement harder to fake, preventing simple representation collapse."
"In contrastive learning, what is an 'anchor'?",The original view or image used as the reference point for comparison.
What is the role of 'negative samples' in contrastive learning?,They provide examples that should not match the anchor to prevent the model from collapsing.
How does a 'hinge loss' handle negative samples in contrastive learning?,It only penalizes negatives that are closer to the anchor than a specified margin $M$.
What is the difference between triplet loss and pairwise contrastive loss?,Triplet loss makes the comparison relative (anchor vs. positive vs. negative) rather than absolute.
Term: InfoNCE,"Definition: Information Noise Contrastive Estimation, a loss function formulated as a classification problem among many distractors."
"In the InfoNCE loss, how are similarity scores typically calculated?",Using a dot product between the query and keys.
What is the effect of the temperature parameter $\tau$ in the InfoNCE loss?,"It controls the sharpness of the probability distribution, with lower values increasing confidence."
Why is the mini-batch size a bottleneck for simple InfoNCE training?,It limits the number of negative samples available to compute an accurate loss.
What is the 'memory bank' solution for scaling negative samples?,Pre-computing and storing embeddings for every image in the dataset to reuse as negatives.
What is the 'stale negatives' problem in memory bank methods?,Stored embeddings become inconsistent as the encoder updates at every training step.
How does MoCo (Momentum Contrast) maintain a consistent dictionary of negative samples?,By using a key encoder whose weights are an exponential moving average of the query encoder.
What data structure does MoCo use to store and update negative samples?,"A first-in, first-out (FIFO) queue."
What is the core advantage of MoCo's queue design?,It decouples the number of negatives from the mini-batch size.
Which two implementation details are critical to the success of SimCLR?,Strong compositional data augmentation and a non-linear MLP projection head.
How does the training strategy of SimCLR differ from MoCo V1?,SimCLR uses an end-to-end strategy requiring very large mini-batches.
What was the main improvement introduced in MoCo V2?,It incorporated SimCLR's projection head and strong augmentations into the MoCo queue framework.
"In BYOL (Bootstrap Your Own Latent), what are the two main networks called?",The student and the teacher.
How is the teacher network updated in the BYOL architecture?,As a slow-moving average (EMA) of the student network.
What is the purpose of the 'stop gradient' operation on the teacher branch in BYOL?,To serve as a stable target for the student without being directly optimized to match it.
Which specific architectural component is present in the BYOL student but absent in the teacher?,A trainable non-linear predictor head.
How does DINO prevent one dimension or class from dominating the output distribution?,By applying centering (subtracting the teacher's average output).
"In DINO, why is a low temperature used for the teacher and a high temperature for the student?","To balance sharp, confident outputs from the teacher with softer outputs from the student."
What is the 'multi-crop' strategy used in DINO training?,"The teacher sees global views, while the student sees both global and local views."
Concept: Masked Autoencoder (MAE),Definition: An SSL method that hides parts of an image and trains a model to reconstruct the missing pixels.
Why is representation collapse not a significant danger for Masked Autoencoders?,A constant representation cannot successfully reconstruct different missing patches.
How does MAE performance compare to MoCo V3 when the encoder is entirely frozen?,MoCo V3 (contrastive) typically outperforms MAE on linear classification tasks.
What is the primary drawback of using a reconstructive loss (like in generative models)?,"The model wastes capacity on irrelevant details, noise, or compression artifacts."
How do Joint-Embedding architectures differ from Generative architectures?,They compare views in abstract latent space rather than reconstructing raw pixels.
Concept: I-JEPA,Definition: Image Joint-Embedding Predictive Architecture that predicts missing information in the embedding space using spatial conditioning.
What does the conditioning variable $z$ represent in the JEPA architecture?,The spatial location of the masked target blocks to be predicted.
What deeper challenge does V-JEPA (Video JEPA) address compared to I-JEPA?,Inferring missing information over time (temporal prediction).
What is an 'action-conditioned' world model?,A model where predictions depend on the current state and the agent's chosen actions.
"In V-JEPA 2 AC, how are robotic planning tasks performed?",By rolling out a chain of predictions through time conditioned on candidate action sequences.
Process: Planning in latent space,Step: Roll out the predictor forward for each candidate and measure proximity to the goal.
How does the Cross Entropy Method (CEM) improve action sequences?,"By sampling random plans, keeping the best ones ('elites'), and sampling again around them."
What is Model Predictive Control (MPC)?,A planning method that uses an internal model of states and dynamics to optimize actions.
What is the goal of redundancy reduction learning?,To prevent different dimensions of the same embedding from carrying the same information.
Concept: Whitening,Definition: Rescaling and rotating embeddings so the covariance matrix becomes the identity matrix $I$.
Why is explicit whitening rarely used in deep learning training?,It is computationally expensive due to the requirement for matrix inversion.
How does the Barlow Twins loss reduce redundancy?,By pushing the cross-correlation matrix toward the identity matrix.
Name the three terms in the VICReg loss function.,"Variance, Invariance, and Covariance."
What is the specific purpose of the 'variance' term in VICReg?,To keep every dimension of the embedding 'alive' by preventing its variance from dropping to zero.
What is the purpose of the 'covariance' term in VICReg?,To decorrelate different dimensions so they do not carry redundant information.
Concept: SigReg (Sketched Isotropic Gaussian Regularization),Definition: A regularizer that pushes the embedding distribution toward an isotropic Gaussian shape.
How does SigReg efficiently check if a high-dimensional embedding is Gaussian?,By examining many random one-dimensional projections of the distribution.
Concept: LEJA,Definition: An architecture combining JEPA's predictive loss with SigReg's distributional regularization.
What are the two loss terms used to train the LE-World Model?,A next-embedding prediction loss and a latent space regularization loss.
How many parameters does the LE-World Model typically have?,Around 15 million parameters.
Why is the training efficiency of the LE-World Model significant?,It can be trained on a single GPU in just a few hours.
