What is the primary architectural innovation of the Transformer model compared to previous sequence transduction models?,"It relies entirely on attention mechanisms, completely dispensing with recurrence and convolutions."
Why is the sequential nature of recurrent neural networks considered a fundamental constraint in training?,"It precludes parallelization within training examples, which is critical for processing longer sequences."
"In the Transformer, what is the computational complexity of relating signals between two arbitrary positions compared to convolutional models like ConvS2S?","The Transformer reduces the number of operations to a constant, whereas ConvS2S requires a linear number of operations."
The Transformer's encoder and decoder stacks both consist of how many identical layers?,Each stack consists of $N = 6$ identical layers.
What two sub-layers are present in each layer of the Transformer's encoder?,A multi-head self-attention mechanism and a position-wise fully connected feed-forward network.
How are residual connections integrated within each sub-layer of the Transformer?,"The model employs a residual connection around each sub-layer, followed by layer normalization."
"What is the fixed output dimension, denoted as $d_{model}$, for all sub-layers and embedding layers in the Transformer?",512
What third sub-layer does the Transformer decoder include that is not present in the encoder layers?,A multi-head attention sub-layer that operates over the output of the encoder stack.
What modification is made to the self-attention sub-layer in the decoder to maintain the auto-regressive property?,Masking is applied to prevent positions from attending to subsequent positions.
How is the output of an attention function generally computed according to the Transformer paper?,"As a weighted sum of the values, where weights are determined by a compatibility function of the query with corresponding keys."
Formula: Scaled Dot-Product Attention,"$Attention(Q, K, V) = softmax(\frac{QK^T}{\sqrt{d_k}})V$"
Why is dot-product attention preferred over additive attention in the Transformer implementation?,It is faster and more space-efficient because it can be implemented using highly optimized matrix multiplication code.
What is the purpose of scaling the dot products by $\frac{1}{\sqrt{d_k}}$ in the attention mechanism?,To prevent dot products from growing large in magnitude and pushing the softmax function into regions with extremely small gradients.
Concept: Multi-Head Attention,Definition: An attention mechanism that jointly attends to information from different representation subspaces at different positions by using multiple parallel linear projections.
"In the base Transformer model, how many parallel attention heads ($h$) are utilized?",8
"In the Transformer's multi-head attention, what is the dimensionality of each individual head ($d_k$ and $d_v$) when $d_{model} = 512$?",64
"In 'encoder-decoder attention' layers, where do the query vectors originate?",The previous decoder layer.
"In 'encoder-decoder attention' layers, from where are the memory keys and values sourced?",The output of the encoder stack.
"Where do the keys, values, and queries come from in the encoder's self-attention layers?",They all come from the output of the previous layer in the encoder.
