What are the two primary Mixture-of-Experts (MoE) models introduced in the DeepSeek-V4 series?,DeepSeek-V4-Pro and DeepSeek-V4-Flash.
What is the maximum context length supported by the DeepSeek-V4 series?,One million tokens.
How many total parameters are in the DeepSeek-V4-Pro model?,1.6T parameters.
How many parameters are activated per token in DeepSeek-V4-Flash?,13B activated parameters.
What is the primary function of the hybrid attention architecture in DeepSeek-V4?,To improve computational efficiency for processing ultra-long sequences.
The hybrid attention architecture in DeepSeek-V4 combines Compressed Sparse Attention (CSA) and _____.,Heavily Compressed Attention (HCA).
What is the purpose of Manifold-Constrained Hyper-Connections (mHC)?,To strengthen conventional residual connections and enhance signal propagation stability.
Which optimizer is employed in DeepSeek-V4 for faster convergence and improved training stability?,The Muon optimizer.
DeepSeek-V4 inherits the DeepSeekMoE framework and the _____ strategy from DeepSeek-V3.,Multi-Token Prediction (MTP).
What activation function is used to compute affinity scores in DeepSeek-V4's MoE layers?,$\sqrt{\text{Softplus}(\cdot)}$.
How does CSA (Compressed Sparse Attention) reduce the KV cache size?,It compresses the KV cache of every $m$ tokens into a single entry.
What sparse attention strategy does CSA apply after compression?,"DeepSeek Sparse Attention (DSA), where queries attend to only $k$ compressed entries."
What is the compression rate $m'$ for Heavily Compressed Attention (HCA)?,128.
To what mathematical manifold are residual mapping matrices constrained in mHC?,The manifold of doubly stochastic matrices (Birkhoff polytope).
Which algorithm is used to project raw parameters onto the doubly stochastic manifold in mHC?,The Sinkhorn-Knopp algorithm.
What technique prevents attention logits from exploding in DeepSeek-V4?,Applying RMSNorm directly on the attention queries and KV entries.
What is the role of the 'Attention Sink' in DeepSeek-V4?,It allows each query head to adjust total attention scores to be not equal to 1.
How does the fine-grained EP (Expert Parallelism) scheme alleviate communication bottlenecks?,By fusing communication and computation into a single pipelined kernel.
"In the MegaMoE kernel, experts are scheduled in _____ to allow computation to start before all communication is complete.",Waves.
What is TileLang?,A Domain-Specific Language (DSL) used to balance development productivity and runtime efficiency for fused kernels.
How does TileLang mitigate CPU-side orchestration overhead?,"Through Host Codegen, which moves host-side validation logic from Python to generated C++ code."
Which solver is integrated into TileLang to verify integer expressions during compilation?,The Z3 SMT solver.
Why did DeepSeek-V4 replace cuBLAS with DeepGEMM?,To achieve bitwise batch invariance and determinism across training and inference.
What does 'batch invariance' ensure in model training?,That the output of a token remains bitwise identical regardless of its position in a batch.
How is training determinism maintained in the MoE backward pass?,By using a token order pre-processing mechanism and buffer isolation across ranks.
What is 'Anticipatory Routing'?,A mechanism that uses historical network parameters to pre-compute routing indices to prevent loss spikes.
"In DeepSeek-V4, the linear component of SwiGLU is clamped to the range of _____ to enhance training stability.","$[-10, 10]$."
What precision is applied to MoE expert weights during post-training QAT to reduce memory occupancy?,FP4 quantization.
What is On-Policy Distillation (OPD)?,A consolidation phase where a student model learns from the output distributions of multiple expert teacher models.
How does DeepSeek-V4 handle auxiliary chatbot tasks like search triggers without redundant prefilling?,Through 'Quick Instruction' special tokens that directly reuse the existing KV cache.
What is the 'Think Max' mode in DeepSeek-V4-Pro?,A reasoning effort mode that utilizes extended context and thinking tokens for maximum problem-solving depth.
"In the 1M-token context scenario, what percentage of DeepSeek-V3.2's KV cache does DeepSeek-V4-Pro require?",10%.
How does 'Interleaved Thinking' benefit agentic workflows?,It preserves the complete reasoning history across user message boundaries during tool-calling scenarios.
What is the purpose of the Write-Ahead Log (WAL) in the RL rollout service?,To enable preemptible and fault-tolerant generation by persisting tokens as they are generated.
Which infrastructure component manages hundreds of thousands of sandbox instances for agentic AI?,DeepSeek Elastic Compute (DSec).
"DSec abstracts four execution substrates: Function Call, Container, microVM, and _____.",fullVM.
How does DSec achieve millisecond-scale virtual machine resumption?,By using snapshot chaining and layered storage on the 3FS distributed filesystem.
"On the SimpleQA benchmark, DeepSeek-V4-Pro-Max redefines the state-of-the-art for _____ models.",Open-source.
What benchmark evaluates LLMs on Graduate Record Examination (GRE)-level knowledge across 285 disciplines?,GPQA.
What is the Elo rating achieved by DeepSeek-V4-Pro-Max on the Codeforces benchmark?,3206.
"In the MRCR retrieval task, how does DeepSeek-V4-Pro-Max compare to Gemini-3.1-Pro at 1M tokens?",DeepSeek-V4-Pro-Max outperforms Gemini-3.1-Pro.
Which special token generates search queries based on the user prompt in the Quick Instruction framework?,$<|query|>$.
What is the 'Zero SWA Caching' strategy for prefixes?,Restoring Sliding Window Attention KV entries by recomputing $n_{\text{win}} \cdot L$ tokens.
How are teacher logits efficiently reconstructed during OPD to avoid memory pressure?,By caching last-layer hidden states and passing them through the prediction head on the fly.
What formal math reasoning result did DeepSeek-V4 achieve on the Putnam-2025 benchmark?,120/120.
What is the expansion factor $n_{\text{hc}}$ for Hyper-Connections in the DeepSeek-V4 models?,4.
Which component of CSA is used to select top-k compressed KV entries?,The Lightning Indexer.
How does DeepSeek-V4 ensure bitwise reproducibility in TileLang?,By aligning algebraic simplification rules with mainstream CUDA toolchains like NVCC.
What is 'stochastic rounding' in the context of MoE gradient synchronization?,A low-precision quantization method that halves communication volume while preserving numerical robustness.
What is the primary benefit of the 'Anticipatory Routing' mechanism?,It averts loss spikes by decoupling backbone updates from routing index computation.
"In the specialist training phase, what algorithm is used to optimize models for domain-aligned behaviors?",Group Relative Policy Optimization (GRPO).
What is the function of the Generative Reward Model (GRM)?,To evaluate policy trajectories using rubric-guided logic rather than simple scalar scores.
Which special token in DeepSeek-V4 series is used for tool invocations in an XML-based format?,$|DSML|$.
What is the compression rate $m$ for Compressed Sparse Attention (CSA) in DeepSeek-V4-Pro?,4.
Which hardware-level bottleneck is targeted by the 'pull-based' activation dispatch in MegaMoE?,High notification latency of fine-grained push communications.
Term: FP4 QAT.,Definition: Quantization-Aware Training where MoE weights are trained to adapt to 4-bit precision to reduce memory traffic.
What does the 'MCPAtlas' benchmark measure?,A model's tool-use competency across a wide range of real Model Context Protocol (MCP) servers.
"In the DSec sandbox, what is the role of the 'Watcher' component?",It acts as the cluster monitor for the sandbox infrastructure.
What specific precision format is used for RoPE dimensions in the KV cache?,BF16.
How many query heads $n_h$ are used in DeepSeek-V4-Pro's CSA/HCA layers?,128.
"In DeepSeek-V4-Pro, how many Transformer blocks use Hash routing instead of standard MoE routing?",The first 3 MoE layers.
What does the 'Terminal Bench 2.0' benchmark evaluate?,A model's agentic capability in interactive terminal environments.
What technique is used in mHC to ensure that the spectal norm of mapping matrices is bounded by 1?,Manifold constraint to doubly stochastic matrices.
