What is the purpose of tokenization in large language models?,It breaks text into discrete pieces called tokens and assigns each a unique ID from a dictionary.
How do token embeddings capture semantic meaning unlike token IDs?,They map tokens into a $D$-dimensional space where words with similar meanings are positioned close to each other.
What is the primary limitation of token embeddings before the attention mechanism is applied?,They lack information about the surrounding context of the token within a sequence.
"In the attention mechanism, what does the dot product between a query vector and a key vector represent?",It quantifies the relevance or similarity between one token and another in a learned space.
Why is the softmax function applied to the raw scores generated by query-key dot products?,To convert the scores into normalized probability distributions known as attention weights.
What is the role of the value vector in the self-attention mechanism?,It extracts the contextual information of a token that can be transferred to other tokens in the sequence.
How is the final representation of a token computed using attention weights and value vectors?,"By calculating a weighted sum of the value vectors, where the weights are the attention scores."
"In DeepSeek V3, what is the purpose of the output matrix $W_O$?",It projects the concatenated attention outputs back to the original embedding dimensionality $D$.
What architectural feature allows a transformer to represent diverse types of relationships between tokens simultaneously?,"Multi-Head Attention (MHA), which uses multiple sets of query, key, and value matrices."
"During the autoregressive generation of tokens, what is the function of 'masking'?","It ensures that current tokens only attend to themselves and preceding tokens, preventing information leakage from the future."
What is the 'prefilling' stage in the context of transformer inference?,The phase where the model computes attention for all tokens in the initial input prompt simultaneously.
Why is Key-Value (KV) caching used during the decoding process?,To avoid redundant computation by storing and reusing key and value vectors from previous tokens.
Why are query vectors not stored in the KV cache during inference?,Previous query vectors have no effect on the attention output for new tokens due to masking.
What is the primary drawback of standard Multi-Head Attention (MHA) during long-sequence inference?,"It is memory-intensive, requiring significant storage for the KV cache across all heads and layers."
How does Multi-Query Attention (MQA) reduce the memory footprint of the KV cache?,It uses only one set of key and value vectors shared across all attention heads in a layer.
What is the main performance tradeoff when using Multi-Query Attention (MQA)?,It degrades the model's ability to capture complex relationships compared to Multi-Head Attention.
How does Grouped-Query Attention (GQA) strike a balance between MHA and MQA?,"It divides attention heads into groups, where each group shares a single set of key and value vectors."
"From a matrix perspective, how can GQA be interpreted as a form of low-rank factorization?",The key and value vectors are obtained by applying a fixed up-projection (duplication) to a reduced set of vectors.
What is the core innovation of Multi-Head Latent Attention (MLA)?,It uses a low-rank down-projection matrix to compress token embeddings into a latent vector before projecting them back to key/value vectors.
"In DeepSeek V3, what is the specific dimension $D_C$ of the compressed latent vector in MLA?",576
How does MLA reduce the computational overhead of the extra matrix multiplications during inference?,It merges the up-projection matrices for queries and keys into a single operation using the associative property.
"How is the value up-projection matrix $W_{V,up}$ handled in MLA during inference?",It is absorbed into the output matrix $W_O$ to avoid explicit computation of value vectors.
What specific feature of Rotary Positional Embedding (RoPE) makes it difficult to use with MLA's matrix absorption?,"The rotation matrix is applied between the query and key projections, preventing their algebraic merger."
How does 'Decoupled RoPE' solve the compatibility issue between RoPE and MLA?,It separates the position-encoding components from the latent content-encoding components and concatenates them.
What is the primary goal of DeepSeek Sparse Attention (DSA)?,To increase throughput and reduce memory consumption by only attending to the most relevant tokens in long sequences.
What is the function of the 'lightning indexer' in the DSA architecture?,It quickly calculates index scores to identify and select which previous tokens the current query should attend to.
How does the lightning indexer maintain high speed while evaluating token relevance?,It uses 8-bit quantization for query and key vectors and a shared key across all heads.
Why is the Hadamard transform applied before quantization in the lightning indexer?,"It spreads out large value spikes uniformly across coordinates, reducing information loss during low-precision quantization."
What is the computational advantage of using a Fast Walsh-Hadamard Transform?,It computes the transform using only addition and subtraction operations without explicitly constructing a dense matrix.
"In the first stage of training DSA, why is the main MLA layer frozen?",To focus solely on aligning the lightning indexer's output with the main attention distribution.
What is the 'dense warm-up' stage in DSA training?,A phase where the indexer is trained to match the summed attention scores of all heads from the main model.
How is the lightning indexer optimized differently from the main model in the final training stage?,It is detached from the main computational graph and optimized solely on its own alignment loss.
What is the reported speed increase for long sequence processing using DSA?,Two to three times faster throughput.
What is the reported memory reduction achieved by DeepSeek Sparse Attention?,Approximately 30% to 40%.
What are the four trainable parameter matrices in a standard self-attention layer?,"$W_Q$ (Query), $W_K$ (Key), $W_V$ (Value), and $W_O$ (Output)."
Formula: Memory for KV Cache,$2 \times \text{dimension} \times \text{precision} \times \text{heads} \times \text{layers} \times \text{sequence length}$
How does 'partial RoPE' function within the context of the lightning indexer?,It applies rotation to only a subset of dimensions before concatenating them with unrotated components.
What is the mathematical definition of the dot product in the context of query ($q$) and key ($k$) vectors?,"The sum of the products of their corresponding entries, reflecting their similarity."
Why does GQA use the term '$N_G$'?,It represents the number of groups into which the total number of attention heads is divided.
Concept: Low-rank Factorization in MLA,The process of decomposing a large weight matrix into two smaller matrices (down-projection and up-projection) to save space.
"In MLA, how does the dimensionality of $D_C$ compare to the standard embedding dimension $D$?","$D_C$ is significantly smaller (e.g., 576 vs 7,000) to achieve memory compression."
What role does the 'residual embedding' play in a transformer layer?,It is added back to the original token embedding to refine it with contextual information while maintaining the original signal.
What is the effect of applying a random orthogonal matrix to a vector before quantization?,It mixes the values of multiple entries to prevent extreme outliers from dominating the quantization range.
How does RoPE ensure that attention depends only on the relative position of tokens?,By applying rotations such that the angle between vectors remains consistent regardless of their absolute position in the sequence.
What happens to the attention weights of tokens that are NOT selected by the lightning indexer in DSA?,They are discarded (set to zero) so the model only computes attention for the most relevant subset.
How many attention heads are typically used in models like DeepSeek V3 or R1?,128
What is the relationship between the number of layers and total KV cache memory?,The total memory requirement scales linearly with the number of attention layers in the model.
Which matrix is used to extract the 'cache latent' in the MLA framework?,"The down-projection matrix $W_{KV,down}$."
Why is the accuracy of index scores in DSA less critical than the accuracy of the main attention scores?,"The indexer's goal is coarse identification of relevant tokens, not the precise calculation of final weighted sums."
"What mathematical property allows the merger of $W_{Q,up}$ and $W_{K,up}$ in MLA inference?",The associative property of matrix multiplication.
"In the context of transformer efficiency, what is 'API pricing' often tied to?","The compute costs, which can be halved by using more efficient attention mechanisms like DSA."
What is the precision used for the numbers stored in the KV cache example provided in the text?,"Float 16 precision, requiring two bytes per number."
